Number,Name,Age,Team,Time,Points,evento,evento_short
1.0,Carrasco Lawn Tennis Club,,A,"1:56,08",18,13  Mixto 16-18 4x50 CC Metro Estilo Libre Relevo,13  Mixto 16-18 4x50 CC 
,"1) Cuadra, Sebastian M18          2",) Gra,"ssi, Valentin M16","3) Estol, Lucia W",16,13  Mixto 16-18 4x50 CC Metro Estilo Libre Relevo,13  Mixto 16-18 4x50 CC 
2.0,Club Social y Deportivo Delfin,,A,"1:57,30",14,13  Mixto 16-18 4x50 CC Metro Estilo Libre Relevo,13  Mixto 16-18 4x50 CC 
,"1) Cairus, Facundo M17            2",) Flo,"res, Chiara W17","3) Zecca, Nata",lia W16,13  Mixto 16-18 4x50 CC Metro Estilo Libre Relevo,13  Mixto 16-18 4x50 CC 
3.0,Club Nacional Nueva Helvecia,,A,"1:59,31",12,13  Mixto 16-18 4x50 CC Metro Estilo Libre Relevo,13  Mixto 16-18 4x50 CC 
,"1) Silvera, Emiliano M17          2",) Dem,"aria, Aaron M17","3) Velazquez,",Federica W,13  Mixto 16-18 4x50 CC Metro Estilo Libre Relevo,13  Mixto 16-18 4x50 CC 
4.0,Centro Sportivo Laureles,,A,"2:00,73",10,13  Mixto 16-18 4x50 CC Metro Estilo Libre Relevo,13  Mixto 16-18 4x50 CC 
,"1) Keiran, Pia W18                2",) Bor,"doli, Felipe M18","3) Keiran, Julie",ta W17,13  Mixto 16-18 4x50 CC Metro Estilo Libre Relevo,13  Mixto 16-18 4x50 CC 
5.0,Piscinas Barriales DE Salto,,A,"2:06,26",8,13  Mixto 16-18 4x50 CC Metro Estilo Libre Relevo,13  Mixto 16-18 4x50 CC 
,"1) Soto, Maximo M16               2",) De,"Los Santos, Delfina W17","3) Gallino, Cam",ila W17,13  Mixto 16-18 4x50 CC Metro Estilo Libre Relevo,13  Mixto 16-18 4x50 CC 
6.0,Club Atletico Esparta,,A,"2:12,51",6,13  Mixto 16-18 4x50 CC Metro Estilo Libre Relevo,13  Mixto 16-18 4x50 CC 
,"1) Stemphet, Iann Paul M17        2",) Biz,"oza, Maia W17                                            3) Cen","turion, Matilde W18",,13  Mixto 16-18 4x50 CC Metro Estilo Libre Relevo,13  Mixto 16-18 4x50 CC 
