Number,Name,Age,Team,Time,Points,evento,evento_short
1.0,Carrasco Lawn Tennis Club,,A,"4:17,25",18,16  Hombres 19 & Mayores 4x100 CC Metro Combinado Relevo,16  Hombres 19 & Mayores
,"1) Chiancone, Federico 29",2) Ch,"iancone, Nicolas 31                                       3) Ur","ia, Juan 32",,16  Hombres 19 & Mayores 4x100 CC Metro Combinado Relevo,16  Hombres 19 & Mayores
2.0,Club Nacional Nueva Helvecia,,A,"4:25,24",14,16  Hombres 19 & Mayores 4x100 CC Metro Combinado Relevo,16  Hombres 19 & Mayores
,"1) Rodriguez, Santiago 22",2) Ig,"lesias, Darwin 30                                             3",") Font, Emanuel 20",,16  Hombres 19 & Mayores 4x100 CC Metro Combinado Relevo,16  Hombres 19 & Mayores
3.0,Club Social y Deportivo Delfin,,A,"4:28,50",12,16  Hombres 19 & Mayores 4x100 CC Metro Combinado Relevo,16  Hombres 19 & Mayores
,"1) Rostan, Gaston 29",2) Fa,"netti, Ignacio 20                                            3)","Ferreira, Francisco 2",1,16  Hombres 19 & Mayores 4x100 CC Metro Combinado Relevo,16  Hombres 19 & Mayores
4.0,Club Atletico Esparta,,A,"4:43,35",10,16  Hombres 19 & Mayores 4x100 CC Metro Combinado Relevo,16  Hombres 19 & Mayores
,"1) Bizoza, Joaquin 25",2) Ba,"tiste, Fabrizio 23","3) Batiste, Nes",tor 29,16  Hombres 19 & Mayores 4x100 CC Metro Combinado Relevo,16  Hombres 19 & Mayores
5.0,Centro Sportivo Laureles,,A,"4:48,44",8,16  Hombres 19 & Mayores 4x100 CC Metro Combinado Relevo,16  Hombres 19 & Mayores
,"1) Quincke, Bautista 18",2) Ac,"osta, Caio 32                                                3)","Quincke, Tomas 21",,16  Hombres 19 & Mayores 4x100 CC Metro Combinado Relevo,16  Hombres 19 & Mayores
6.0,Nadadores DE Young,,A,"4:51,42",6,16  Hombres 19 & Mayores 4x100 CC Metro Combinado Relevo,16  Hombres 19 & Mayores
,"1) Estigarriba, Martin 35",2) Me,"dina, Alfonso 18","3) Castroman,",Nicolas 20,16  Hombres 19 & Mayores 4x100 CC Metro Combinado Relevo,16  Hombres 19 & Mayores
