Number,Name,Age,Team,Time,Points,evento,evento_short
1,"Bertinat, Guillermo",11,Club Nacional Nueva Helvecia,"49,43",9.0,26  Hombres 11 Años de Edad 50 CC Metro Estilo de Pecho,26  Hombres 11 Años de E
2,"Cruz, Diego",11,Club Social y Deportivo Delfin,"49,59",7.0,26  Hombres 11 Años de Edad 50 CC Metro Estilo de Pecho,26  Hombres 11 Años de E
3,"Cairus, Valentino",11,Club Social y Deportivo Delfin,"51,79",6.0,26  Hombres 11 Años de Edad 50 CC Metro Estilo de Pecho,26  Hombres 11 Años de E
4,"Faber, Francisco",11,Centro Sportivo Laureles,"54,82",5.0,26  Hombres 11 Años de Edad 50 CC Metro Estilo de Pecho,26  Hombres 11 Años de E
5,"Martinez, Felipe",11,Club Nacional Nueva Helvecia,"55,18",4.0,26  Hombres 11 Años de Edad 50 CC Metro Estilo de Pecho,26  Hombres 11 Años de E
6,"Schmidt, Bruce",11,Club Nacional Nueva Helvecia,"x56,24",,26  Hombres 11 Años de Edad 50 CC Metro Estilo de Pecho,26  Hombres 11 Años de E
7,"Licio, Faustino",11,Carrasco Lawn Tennis Club,"56,81",3.0,26  Hombres 11 Años de Edad 50 CC Metro Estilo de Pecho,26  Hombres 11 Años de E
8,"Hernandez, Juan Pedro",11,Club Atletico Esparta,"58,30",2.0,26  Hombres 11 Años de Edad 50 CC Metro Estilo de Pecho,26  Hombres 11 Años de E
9,"Canuti, Agustin",11,Carrasco Lawn Tennis Club,"58,65",1.0,26  Hombres 11 Años de Edad 50 CC Metro Estilo de Pecho,26  Hombres 11 Años de E
10,"Terra, Francisco",11,Carrasco Lawn Tennis Club,"x59,29",,26  Hombres 11 Años de Edad 50 CC Metro Estilo de Pecho,26  Hombres 11 Años de E
11,"Gauna, Toro",11,Club Social y Deportivo Delfin,"x1:04,39",,26  Hombres 11 Años de Edad 50 CC Metro Estilo de Pecho,26  Hombres 11 Años de E
12,"Kobar, Benjamin",11,Piscinas Barriales DE Salto,"1:05,71",,26  Hombres 11 Años de Edad 50 CC Metro Estilo de Pecho,26  Hombres 11 Años de E
13,"Domini, Facundo",11,Club Atletico Esparta,"1:06,69",,26  Hombres 11 Años de Edad 50 CC Metro Estilo de Pecho,26  Hombres 11 Años de E
---,"Gardiol, Juan",11,Club Atletico Esparta,DQ,,26  Hombres 11 Años de Edad 50 CC Metro Estilo de Pecho,26  Hombres 11 Años de E
---,"Mantinian, Timoteo",11,Centro Sportivo Laureles,DQ,,26  Hombres 11 Años de Edad 50 CC Metro Estilo de Pecho,26  Hombres 11 Años de E
---,"Etcheverry, Clemente",11,Centro Sportivo Laureles,DQ,,26  Hombres 11 Años de Edad 50 CC Metro Estilo de Pecho,26  Hombres 11 Años de E
