Number,Name,Age,Team,Time,Points,evento,evento_short
1,"Lagos, Mateo",13,Centro Sportivo Laureles,"42,12",9.0,4  Niños 12-13 50 CC Metro Estilo de Pecho,4  Niños 12-13 50 CC Met
2,"Menini, Benjamin",13,Centro Sportivo Laureles,"42,13",7.0,4  Niños 12-13 50 CC Metro Estilo de Pecho,4  Niños 12-13 50 CC Met
3,"Centurio        án, Ma    áximo",12,Nadadores DE Young,"42,90",6.0,4  Niños 12-13 50 CC Metro Estilo de Pecho,4  Niños 12-13 50 CC Met
4,"Fuentes, Geronimo",12,Club Atletico Esparta,"45,37",5.0,4  Niños 12-13 50 CC Metro Estilo de Pecho,4  Niños 12-13 50 CC Met
5,"Canuti, Tomas",13,Carrasco Lawn Tennis Club,"45,60",4.0,4  Niños 12-13 50 CC Metro Estilo de Pecho,4  Niños 12-13 50 CC Met
6,"Ferres, Justino",13,Club Social y Deportivo Delfin,"46,70",3.0,4  Niños 12-13 50 CC Metro Estilo de Pecho,4  Niños 12-13 50 CC Met
7,"Chaquiriand, Mauro",13,Club Nacional Nueva Helvecia,"48,93",2.0,4  Niños 12-13 50 CC Metro Estilo de Pecho,4  Niños 12-13 50 CC Met
8,"Yaquinta, Salvador",12,Carrasco Lawn Tennis Club,"49,54",1.0,4  Niños 12-13 50 CC Metro Estilo de Pecho,4  Niños 12-13 50 CC Met
9,"Mederos, Benjamin",12,Club Nacional Nueva Helvecia,"49,73",,4  Niños 12-13 50 CC Metro Estilo de Pecho,4  Niños 12-13 50 CC Met
10,"Espinosa, Ian",12,Club Atletico Esparta,"50,38",,4  Niños 12-13 50 CC Metro Estilo de Pecho,4  Niños 12-13 50 CC Met
11,"Vera, Sebastian",12,Club Nacional Nueva Helvecia,"x50,45",,4  Niños 12-13 50 CC Metro Estilo de Pecho,4  Niños 12-13 50 CC Met
12,"Abbate, Bautista",12,Club Social y Deportivo Delfin,"50,87",,4  Niños 12-13 50 CC Metro Estilo de Pecho,4  Niños 12-13 50 CC Met
13,"Paez, Tomas",12,Carrasco Lawn Tennis Club,"x51,95",,4  Niños 12-13 50 CC Metro Estilo de Pecho,4  Niños 12-13 50 CC Met
14,"Amarillo, Felipe",12,Club Social y Deportivo Delfin,"x52,11",,4  Niños 12-13 50 CC Metro Estilo de Pecho,4  Niños 12-13 50 CC Met
15,"Leguizamon, Axel",12,Club Social y Deportivo Delfin,"x52,24",,4  Niños 12-13 50 CC Metro Estilo de Pecho,4  Niños 12-13 50 CC Met
16,"Stemphelet, Genaro",13,Nadadores DE Young,"52,36",,4  Niños 12-13 50 CC Metro Estilo de Pecho,4  Niños 12-13 50 CC Met
17,"Crevoisier, Bruno",12,Nadadores DE Young,"x52,44",,4  Niños 12-13 50 CC Metro Estilo de Pecho,4  Niños 12-13 50 CC Met
18,"Yohnatan, Casals",13,Club Atletico Esparta,"x52,87",,4  Niños 12-13 50 CC Metro Estilo de Pecho,4  Niños 12-13 50 CC Met
19,"Daruech, Stefano",12,Club Atletico Esparta,"x53,09",,4  Niños 12-13 50 CC Metro Estilo de Pecho,4  Niños 12-13 50 CC Met
20,"Besson, Bautista",12,Carrasco Lawn Tennis Club,"x53,31",,4  Niños 12-13 50 CC Metro Estilo de Pecho,4  Niños 12-13 50 CC Met
21,"Machado, Alan",13,Nadadores DE Young,"x53,50",,4  Niños 12-13 50 CC Metro Estilo de Pecho,4  Niños 12-13 50 CC Met
22,"Stemphelet, Bruno",13,Nadadores DE Young,"x53,59",,4  Niños 12-13 50 CC Metro Estilo de Pecho,4  Niños 12-13 50 CC Met
23,"Hernandez, Andres",12,Club Nacional Nueva Helvecia,"x53,74",,4  Niños 12-13 50 CC Metro Estilo de Pecho,4  Niños 12-13 50 CC Met
24,"Carballo, Nicolas",12,Piscinas Barriales DE Salto,"54,69",,4  Niños 12-13 50 CC Metro Estilo de Pecho,4  Niños 12-13 50 CC Met
25,"Rodriguez, Sergio",13,Club Social y Deportivo Delfin,"x54,97",,4  Niños 12-13 50 CC Metro Estilo de Pecho,4  Niños 12-13 50 CC Met
26,"Filipini, Miguel",13,Piscinas Barriales DE Salto,"56,61",,4  Niños 12-13 50 CC Metro Estilo de Pecho,4  Niños 12-13 50 CC Met
27,"Heredia, Patic",12,Piscinas Barriales DE Salto,"x57,01",,4  Niños 12-13 50 CC Metro Estilo de Pecho,4  Niños 12-13 50 CC Met
28,"Brun, Elias",12,Centro Sportivo Laureles,"x57,05",,4  Niños 12-13 50 CC Metro Estilo de Pecho,4  Niños 12-13 50 CC Met
29,"Morales, Gael",13,Club Atletico Esparta,"x57,23",,4  Niños 12-13 50 CC Metro Estilo de Pecho,4  Niños 12-13 50 CC Met
30,"Restano, Jose            á Juan",13,Carrasco Lawn Tennis Club,"x57,51",,4  Niños 12-13 50 CC Metro Estilo de Pecho,4  Niños 12-13 50 CC Met
