Number,Name,Age,Team,Time,Points,evento,evento_short
1,"Puyol, Caio",18,Club Social y Deportivo Delfin,"25,50",9.0,42  Hombres 16-18 50 CC Metro Estilo Libre,42  Hombres 16-18 50 CC 
2,"Cuadra, Sebastian",18,Carrasco Lawn Tennis Club,"26,06",7.0,42  Hombres 16-18 50 CC Metro Estilo Libre,42  Hombres 16-18 50 CC 
3,"Silvera, Emiliano",17,Club Nacional Nueva Helvecia,"26,46",6.0,42  Hombres 16-18 50 CC Metro Estilo Libre,42  Hombres 16-18 50 CC 
4,"Cairus, Facundo",17,Club Social y Deportivo Delfin,"26,74",5.0,42  Hombres 16-18 50 CC Metro Estilo Libre,42  Hombres 16-18 50 CC 
5,"Vittori, Giuliano",16,Club Social y Deportivo Delfin,"x26,84",,42  Hombres 16-18 50 CC Metro Estilo Libre,42  Hombres 16-18 50 CC 
6,"Quincke, Bautista",18,Centro Sportivo Laureles,"27,44",4.0,42  Hombres 16-18 50 CC Metro Estilo Libre,42  Hombres 16-18 50 CC 
7,"Grassi, Valentin",16,Carrasco Lawn Tennis Club,"28,33",3.0,42  Hombres 16-18 50 CC Metro Estilo Libre,42  Hombres 16-18 50 CC 
8,"Seigal, Pedro",18,Carrasco Lawn Tennis Club,"x28,65",,42  Hombres 16-18 50 CC Metro Estilo Libre,42  Hombres 16-18 50 CC 
9,"Soto, Maximo",16,Piscinas Barriales DE Salto,"29,16",2.0,42  Hombres 16-18 50 CC Metro Estilo Libre,42  Hombres 16-18 50 CC 
10,"Demaria, Aaron",17,Club Nacional Nueva Helvecia,"29,60",1.0,42  Hombres 16-18 50 CC Metro Estilo Libre,42  Hombres 16-18 50 CC 
11,"Hartwich, Ian",16,Nadadores DE Young,"29,66",,42  Hombres 16-18 50 CC Metro Estilo Libre,42  Hombres 16-18 50 CC 
12,"Elizarzu, Tim",17,Club Nacional Nueva Helvecia,"x29,78",,42  Hombres 16-18 50 CC Metro Estilo Libre,42  Hombres 16-18 50 CC 
13,"Stemphet, Iann Paul",17,Club Atletico Esparta,"29,85",,42  Hombres 16-18 50 CC Metro Estilo Libre,42  Hombres 16-18 50 CC 
14,"Garcia, Rodrigo",17,Club Atletico Esparta,"29,91",,42  Hombres 16-18 50 CC Metro Estilo Libre,42  Hombres 16-18 50 CC 
15,"Cavalheiro, Federico",17,Piscinas Barriales DE Salto,"30,21",,42  Hombres 16-18 50 CC Metro Estilo Libre,42  Hombres 16-18 50 CC 
16,"Silveira, Valentin",17,Piscinas Barriales DE Salto,"x30,51",,42  Hombres 16-18 50 CC Metro Estilo Libre,42  Hombres 16-18 50 CC 
17,"Morales, Tomas",16,Club Atletico Esparta,"x30,69",,42  Hombres 16-18 50 CC Metro Estilo Libre,42  Hombres 16-18 50 CC 
18,"Bordoli, Felipe",18,Centro Sportivo Laureles,"30,99",,42  Hombres 16-18 50 CC Metro Estilo Libre,42  Hombres 16-18 50 CC 
19,"Medina, Alfonso",18,Nadadores DE Young,"31,25",,42  Hombres 16-18 50 CC Metro Estilo Libre,42  Hombres 16-18 50 CC 
20,"Indarte, Diego",17,Nadadores DE Young,"x32,27",,42  Hombres 16-18 50 CC Metro Estilo Libre,42  Hombres 16-18 50 CC 
