Number,Name,Age,Team,Time,Points,evento,evento_short
1,"Rovella, Maríáa Paz",25,Carrasco Lawn Tennis Club,"1:17,09",9.0,5  Mujeres 19 & Mayores 100 CC Metro Estilo de Mariposa,5  Mujeres 19 & Mayores 
2,"Gonzalez, Lucia",27,Centro Sportivo Laureles,"1:17,36",7.0,5  Mujeres 19 & Mayores 100 CC Metro Estilo de Mariposa,5  Mujeres 19 & Mayores 
3,"Mott, Priscila",27,Club Social y Deportivo Delfin,"1:17,53",6.0,5  Mujeres 19 & Mayores 100 CC Metro Estilo de Mariposa,5  Mujeres 19 & Mayores 
4,"Rossotti, Lucia",21,Club Social y Deportivo Delfin,"1:18,37",5.0,5  Mujeres 19 & Mayores 100 CC Metro Estilo de Mariposa,5  Mujeres 19 & Mayores 
5,"Perucca, Franggina",20,Centro Sportivo Laureles,"1:19,40",4.0,5  Mujeres 19 & Mayores 100 CC Metro Estilo de Mariposa,5  Mujeres 19 & Mayores 
6,"Koster, Valentina",20,Club Social y Deportivo Delfin,"x1:20,59",,5  Mujeres 19 & Mayores 100 CC Metro Estilo de Mariposa,5  Mujeres 19 & Mayores 
7,"Cufre, Maríáa Lucíáa",22,Club Nacional Nueva Helvecia,"1:21,07",3.0,5  Mujeres 19 & Mayores 100 CC Metro Estilo de Mariposa,5  Mujeres 19 & Mayores 
8,"Jorcin, Valentina",24,Carrasco Lawn Tennis Club,"1:25,10",2.0,5  Mujeres 19 & Mayores 100 CC Metro Estilo de Mariposa,5  Mujeres 19 & Mayores 
9,"Suarez, Aldana",19,Nadadores DE Young,"1:26,23",1.0,5  Mujeres 19 & Mayores 100 CC Metro Estilo de Mariposa,5  Mujeres 19 & Mayores 
10,"Vila, Isabel",19,Nadadores DE Young,"1:30,48",,5  Mujeres 19 & Mayores 100 CC Metro Estilo de Mariposa,5  Mujeres 19 & Mayores 
11,"Lepratti, Manuela",19,Club Nacional Nueva Helvecia,"1:31,64",,5  Mujeres 19 & Mayores 100 CC Metro Estilo de Mariposa,5  Mujeres 19 & Mayores 
