Number,Name,Age,Team,Time,Points,evento,evento_short
1.0,Club Social y Deportivo Delfin,,A,"4:01,96",18,53  Hombres 16-18 4x100 CC Metro Estilo Libre Relevo,53  Hombres 16-18 4x100 
,"1) Cairus, Facundo 17",2) Vi,"ttori, Giuliano 16","3) Rostan, Matias 18",,53  Hombres 16-18 4x100 CC Metro Estilo Libre Relevo,53  Hombres 16-18 4x100 
2.0,Carrasco Lawn Tennis Club,,A,"4:09,09",14,53  Hombres 16-18 4x100 CC Metro Estilo Libre Relevo,53  Hombres 16-18 4x100 
,"1) Grassi, Valentin 16",2) Pa,"ez, Juan Pedro 15","3) Seigal,",Pedro 18,53  Hombres 16-18 4x100 CC Metro Estilo Libre Relevo,53  Hombres 16-18 4x100 
3.0,Centro Sportivo Laureles,,A,"4:21,34",12,53  Hombres 16-18 4x100 CC Metro Estilo Libre Relevo,53  Hombres 16-18 4x100 
,"1) Coll, Sebastian 15",2) Vo,"elker, Felipe 15","3) Bordoli, Felip",e 18,53  Hombres 16-18 4x100 CC Metro Estilo Libre Relevo,53  Hombres 16-18 4x100 
4.0,Club Nacional Nueva Helvecia,,A,"4:25,49",10,53  Hombres 16-18 4x100 CC Metro Estilo Libre Relevo,53  Hombres 16-18 4x100 
,"1) Demaria, Aaron 17",2) El,"izarzu, Tim 17                                            3) So","nderegger, Paulino 15",,53  Hombres 16-18 4x100 CC Metro Estilo Libre Relevo,53  Hombres 16-18 4x100 
5.0,Club Atletico Esparta,,A,"4:33,65",8,53  Hombres 16-18 4x100 CC Metro Estilo Libre Relevo,53  Hombres 16-18 4x100 
,"1) Morales, Tomas 16",2) Ma,"rtinez, Alan 18                                           3) Ga","rcia, Rodrigo 17",,53  Hombres 16-18 4x100 CC Metro Estilo Libre Relevo,53  Hombres 16-18 4x100 
6.0,Nadadores DE Young,,A,"5:04,48",6,53  Hombres 16-18 4x100 CC Metro Estilo Libre Relevo,53  Hombres 16-18 4x100 
,"1) Medina, Tomas 14",2) Ha,"rtwich, Ian 16                                            3) In","darte, Diego 17",,53  Hombres 16-18 4x100 CC Metro Estilo Libre Relevo,53  Hombres 16-18 4x100 
