Number,Name,Age,Team,Time,Points,evento,evento_short
1,"Puyol, Caio",18,Club Social y Deportivo Delfin,"1:20,27",9.0,63  Hombres 16-18 100 CC Metro Estilo de Pecho,63  Hombres 16-18 100 CC
2,"Silvera, Emiliano",17,Club Nacional Nueva Helvecia,"1:20,41",7.0,63  Hombres 16-18 100 CC Metro Estilo de Pecho,63  Hombres 16-18 100 CC
3,"Grassi, Valentin",16,Carrasco Lawn Tennis Club,"1:22,26",6.0,63  Hombres 16-18 100 CC Metro Estilo de Pecho,63  Hombres 16-18 100 CC
4,"Imken, Diego",18,Club Social y Deportivo Delfin,"1:24,05",5.0,63  Hombres 16-18 100 CC Metro Estilo de Pecho,63  Hombres 16-18 100 CC
5,"Buscio, Agustino",17,Club Social y Deportivo Delfin,"x1:24,29",,63  Hombres 16-18 100 CC Metro Estilo de Pecho,63  Hombres 16-18 100 CC
6,"Seigal, Pedro",18,Carrasco Lawn Tennis Club,"1:24,52",4.0,63  Hombres 16-18 100 CC Metro Estilo de Pecho,63  Hombres 16-18 100 CC
7,"Bordoli, Felipe",18,Centro Sportivo Laureles,"1:27,76",3.0,63  Hombres 16-18 100 CC Metro Estilo de Pecho,63  Hombres 16-18 100 CC
8,"Stemphet, Iann Paul",17,Club Atletico Esparta,"1:28,98",2.0,63  Hombres 16-18 100 CC Metro Estilo de Pecho,63  Hombres 16-18 100 CC
9,"Silveira, Valentin",17,Piscinas Barriales DE Salto,"1:31,73",1.0,63  Hombres 16-18 100 CC Metro Estilo de Pecho,63  Hombres 16-18 100 CC
10,"Demaria, Aaron",17,Club Nacional Nueva Helvecia,"1:32,84",,63  Hombres 16-18 100 CC Metro Estilo de Pecho,63  Hombres 16-18 100 CC
