Number,Name,Age,Team,Time,Points,evento,evento_short
1,Club Social y Deportivo Delfin,,A                                                        2:,"07,60               18",,67  Mixto 19 & Mayores 4x50 CC Metro Combinado Relevo,67  Mixto 19 & Mayores 4
,"1) Rostan, Gaston M29             2",) Her,"nandez, Florencia W29",3) Ferreira,", Francisc",67  Mixto 19 & Mayores 4x50 CC Metro Combinado Relevo,67  Mixto 19 & Mayores 4
2,Carrasco Lawn Tennis Club,,A                                                        2:,"08,55               14",,67  Mixto 19 & Mayores 4x50 CC Metro Combinado Relevo,67  Mixto 19 & Mayores 4
,"1) Rovella, Maríáa Paz W25        2",) Jor,"cin, Valentina W24","3) Uria, Juan M32",,67  Mixto 19 & Mayores 4x50 CC Metro Combinado Relevo,67  Mixto 19 & Mayores 4
3,Club Nacional Nueva Helvecia,,A                                                        2:,"10,17               12",,67  Mixto 19 & Mayores 4x50 CC Metro Combinado Relevo,67  Mixto 19 & Mayores 4
,"1) Lepratti, Manuela W19          2",) Lo,"ápez, Selena W19                                       3) Fon","t, Emanuel M20",,67  Mixto 19 & Mayores 4x50 CC Metro Combinado Relevo,67  Mixto 19 & Mayores 4
4,Centro Sportivo Laureles,,A                                                        2:,"11,76               10",,67  Mixto 19 & Mayores 4x50 CC Metro Combinado Relevo,67  Mixto 19 & Mayores 4
,"1) Voelker, Julieta W22           2",) Aco,"sta, Caio M32                                               3)","Gonzalez, Lucia W27",,67  Mixto 19 & Mayores 4x50 CC Metro Combinado Relevo,67  Mixto 19 & Mayores 4
5,Nadadores DE Young,,A                                                        2:,"13,04                8",,67  Mixto 19 & Mayores 4x50 CC Metro Combinado Relevo,67  Mixto 19 & Mayores 4
,"1) Suarez, Aldana W19             2",) Sal,"vatierra, Magdalena W20","3) Castroman, San",tiago M19,67  Mixto 19 & Mayores 4x50 CC Metro Combinado Relevo,67  Mixto 19 & Mayores 4
---,Club Atletico Esparta,,A,DQ,,67  Mixto 19 & Mayores 4x50 CC Metro Combinado Relevo,67  Mixto 19 & Mayores 4
,"1) Batiste, Fabrizio M23          2",) Bat,"iste, Nestor M29","3) Jourdan, Ca",rolina W36,67  Mixto 19 & Mayores 4x50 CC Metro Combinado Relevo,67  Mixto 19 & Mayores 4
